c1=0.1 c3=0.1 → Result: 1.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.1 c3=0.4 → Result: 1.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.1 c3=0.2 → Result: 1.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.1 c3=0.3 → Result: 1.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.1 c3=0.5 → Result: 1.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.1 c3=0.6 → Result: 1.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.1 c3=0.7 → Result: 1.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.1 c3=0.8 → Result: 1.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.1 c3=0.9 → Result: 1.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.1 c3=1.0 → Result: 1.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.2 c3=0.1 → Result: 1.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.2 c3=0.2 → Result: 1.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.2 c3=0.3 → Result: 0.99 (+/- 0.0262640545728517 with probability 0.99; rel err 0.026529348053385554)
c1=0.2 c3=0.5 → Result: 1.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.2 c3=0.4 → Result: 0.97 (+/- 0.0450288306878362 with probability 0.99; rel err 0.04642147493591361)
c1=0.2 c3=0.6 → Result: 0.99 (+/- 0.0262640545728517 with probability 0.99; rel err 0.026529348053385554)
c1=0.2 c3=0.7 → Result: 0.98 (+/- 0.03695491523884663 with probability 0.99; rel err 0.037709097182496557)
c1=0.2 c3=0.8 → Result: 0.97 (+/- 0.0450288306878362 with probability 0.99; rel err 0.04642147493591361)
c1=0.2 c3=0.9 → Result: 0.98 (+/- 0.03695491523884663 with probability 0.99; rel err 0.037709097182496557)
c1=0.3 c3=0.1 → Result: 1.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.2 c3=1.0 → Result: 0.99 (+/- 0.0262640545728517 with probability 0.99; rel err 0.026529348053385554)
c1=0.3 c3=0.2 → Result: 1.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.3 c3=0.3 → Result: 0.94 (+/- 0.06268790076336504 with probability 0.99; rel err 0.06668925613123941)
c1=0.3 c3=0.4 → Result: 0.87 (+/- 0.08877189223840337 with probability 0.99; rel err 0.10203665774529123)
c1=0.3 c3=0.5 → Result: 0.82 (+/- 0.10141153433920085 with probability 0.99; rel err 0.12367260285268397)
c1=0.3 c3=0.6 → Result: 0.83 (+/- 0.09915341616779688 with probability 0.99; rel err 0.11946194719011673)
c1=0.3 c3=0.7 → Result: 0.85 (+/- 0.0942538865218181 with probability 0.99; rel err 0.110886925319786)
c1=0.4 c3=0.1 → Result: 1.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.4 c3=0.2 → Result: 1.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.4 c3=0.3 → Result: 0.94 (+/- 0.06268790076336504 with probability 0.99; rel err 0.06668925613123941)
c1=0.3 c3=0.8 → Result: 0.56 (+/- 0.13102812506552597 with probability 0.99; rel err 0.23397879475986777)
c1=0.3 c3=0.9 → Result: 0.37 (+/- 0.1274428020417875 with probability 0.99; rel err 0.34444000551834464)
c1=0.4 c3=0.4 → Result: 0.66 (+/- 0.12504191065024262 with probability 0.99; rel err 0.18945744037915546)
c1=0.4 c3=0.5 → Result: 0.46 (+/- 0.13155882033219352 with probability 0.99; rel err 0.2859974355047685)
c1=0.3 c3=1.0 → Result: 0.15 (+/- 0.0942538865218181 with probability 0.99; rel err 0.6283592434787874)
c1=0.4 c3=0.6 → Result: 0.39 (+/- 0.12874826814326187 with probability 0.99; rel err 0.3301237644699022)
c1=0.4 c3=0.7 → Result: 0.1 (+/- 0.07918910408324277 with probability 0.99; rel err 0.7918910408324277)
c1=0.5 c3=0.1 → Result: 1.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.5 c3=0.2 → Result: 0.98 (+/- 0.03695491523884663 with probability 0.99; rel err 0.037709097182496557)
c1=0.4 c3=0.8 → Result: 0.07 (+/- 0.06734954547223375 with probability 0.99; rel err 0.9621363638890534)
c1=0.5 c3=0.3 → Result: 0.82 (+/- 0.10141153433920085 with probability 0.99; rel err 0.12367260285268397)
c1=0.4 c3=0.9 → Result: 0.01 (+/- 0.0262640545728517 with probability 0.99; rel err 2.62640545728517)
c1=0.5 c3=0.4 → Result: 0.27 (+/- 0.11718917232432174 with probability 0.99; rel err 0.434033971571562)
c1=0.4 c3=1.0 → Result: 0.01 (+/- 0.0262640545728517 with probability 0.99; rel err 2.62640545728517)
c1=0.5 c3=0.5 → Result: 0.1 (+/- 0.07918910408324277 with probability 0.99; rel err 0.7918910408324277)
c1=0.5 c3=0.6 → Result: 0.04 (+/- 0.051726106184558036 with probability 0.99; rel err 1.293152654613951)
c1=0.5 c3=0.7 → Result: 0.01 (+/- 0.0262640545728517 with probability 0.99; rel err 2.62640545728517)
c1=0.6 c3=0.1 → Result: 0.7 (+/- 0.12096335455906554 with probability 0.99; rel err 0.1728047922272365)
c1=0.5 c3=0.8 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.6 c3=0.2 → Result: 0.97 (+/- 0.0450288306878362 with probability 0.99; rel err 0.04642147493591361)
c1=0.5 c3=0.9 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.5 c3=1.0 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.6 c3=0.4 → Result: 0.16 (+/- 0.09677068364725243 with probability 0.99; rel err 0.6048167727953276)
c1=0.6 c3=0.3 → Result: 0.32 (+/- 0.12313276173474297 with probability 0.99; rel err 0.38478988042107176)
c1=0.6 c3=0.5 → Result: 0.01 (+/- 0.0262640545728517 with probability 0.99; rel err 2.62640545728517)
c1=0.6 c3=0.6 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.6 c3=0.7 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.6 c3=0.8 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.7 c3=0.1 → Result: 0.05 (+/- 0.05752955035472988 with probability 0.99; rel err 1.1505910070945975)
c1=0.7 c3=0.2 → Result: 0.85 (+/- 0.0942538865218181 with probability 0.99; rel err 0.110886925319786)
c1=0.6 c3=0.9 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.6 c3=1.0 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.7 c3=0.3 → Result: 0.18 (+/- 0.10141153433920085 with probability 0.99; rel err 0.5633974129955602)
c1=0.7 c3=0.5 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.7 c3=0.4 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.7 c3=0.6 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.7 c3=0.7 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.7 c3=0.8 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.8 c3=0.1 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.7 c3=0.9 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.8 c3=0.2 → Result: 0.75 (+/- 0.11429962639836377 with probability 0.99; rel err 0.15239950186448503)
c1=0.7 c3=1.0 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.8 c3=0.3 → Result: 0.12 (+/- 0.0857780430401305 with probability 0.99; rel err 0.7148170253344208)
c1=0.8 c3=0.4 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.8 c3=0.5 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.8 c3=0.6 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.8 c3=0.7 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.8 c3=0.8 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.9 c3=0.1 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.8 c3=0.9 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.9 c3=0.2 → Result: 0.17 (+/- 0.09915341616779688 with probability 0.99; rel err 0.5832553892223346)
c1=0.8 c3=1.0 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.9 c3=0.3 → Result: 0.04 (+/- 0.051726106184558036 with probability 0.99; rel err 1.293152654613951)
c1=0.9 c3=0.4 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.9 c3=0.5 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.9 c3=0.7 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.9 c3=0.6 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=1.0 c3=0.1 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.9 c3=0.8 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=1.0 c3=0.2 → Result: 0.01 (+/- 0.0262640545728517 with probability 0.99; rel err 2.62640545728517)
c1=0.9 c3=0.9 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=0.9 c3=1.0 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=1.0 c3=0.3 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=1.0 c3=0.4 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=1.0 c3=0.5 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=1.0 c3=0.6 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=1.0 c3=0.7 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=1.0 c3=0.8 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=1.0 c3=0.9 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
c1=1.0 c3=1.0 → Result: 0.0 (+/- 0.0 with probability 0.99; rel err 0.0)
