action step time goats tigers
- 0 0.0 500 500
[predate] 1 7.777846677550407E-4 499 501
[die] 2 0.002521914099146891 499 500
[predate] 3 0.0025723585551441458 498 501
[predate] 4 0.00292579868876874 497 502
[die] 5 0.0032255468884098983 497 501
[predate] 6 0.0033769607122151844 496 502
[predate] 7 0.005117722973111851 495 503
[predate] 8 0.005655942918720793 494 504
[die] 9 0.00597524126404752 494 503
[predate] 10 0.006281509689074684 493 504
[die] 11 0.007393228621700189 493 503
[predate] 12 0.007568552988160142 492 504
[die] 13 0.00840639467832219 492 503
[die] 14 0.008408223270565111 492 502
[die] 15 0.008456098045178873 492 501
[grow] 16 0.01099047892610398 493 501
[die] 17 0.011222753425759655 493 500
[grow] 18 0.011275062372536122 494 500
[die] 19 0.011376830479472995 494 499
[grow] 20 0.013646122231468502 495 499
[die] 21 0.015607604433853076 495 498
[predate] 22 0.016129993955088687 494 499
[predate] 23 0.01690364827154794 493 500
[die] 24 0.01821877544140501 493 499
[predate] 25 0.019743830432017568 492 500
[predate] 26 0.02086847883192782 491 501
[predate] 27 0.0210709304564206 490 502
[predate] 28 0.02133922046795118 489 503
[die] 29 0.021674883381465754 489 502
[predate] 30 0.02266257456644661 488 503
[predate] 31 0.023279207523156157 487 504
[grow] 32 0.02357936014703865 488 504
[predate] 33 0.023584611261328818 487 505
[die] 34 0.023906548088861827 487 504
[die] 35 0.025617316482897248 487 503
[predate] 36 0.02704254683959097 486 504
[predate] 37 0.027492925256325653 485 505
[die] 38 0.027724309337135204 485 504
[grow] 39 0.028826976619731794 486 504
[predate] 40 0.030078624590978653 485 505
[die] 41 0.030248140062448494 485 504
[die] 42 0.03047617249623726 485 503
[predate] 43 0.030485080335963192 484 504
[grow] 44 0.030654963595700167 485 504
[die] 45 0.03248379114141549 485 503
[grow] 46 0.03288104909933148 486 503
[grow] 47 0.03299032849168361 487 503
[predate] 48 0.0342787446756346 486 504
[predate] 49 0.03584733322345571 485 505
[grow] 50 0.036126014971138036 486 505
[predate] 51 0.03686763951145071 485 506
[predate] 52 0.03742863111085172 484 507
[predate] 53 0.03801010617721086 483 508
[grow] 54 0.03910172256874307 484 508
[grow] 55 0.03956879372291813 485 508
[die] 56 0.042804421512637955 485 507
[die] 57 0.046698523725944976 485 506
[die] 58 0.04764764182950588 485 505
[predate] 59 0.04778551249860346 484 506
[predate] 60 0.04917419585508012 483 507
[predate] 61 0.05001633412831179 482 508
[predate] 62 0.051348622204759574 481 509
[predate] 63 0.051491987285870476 480 510
[grow] 64 0.05264244129088801 481 510
[predate] 65 0.05265595960075313 480 511
[predate] 66 0.05291454872628111 479 512
[die] 67 0.05341685282338562 479 511
[predate] 68 0.05342842208798114 478 512
[predate] 69 0.055348248283591 477 513
[die] 70 0.056682175389415564 477 512
[die] 71 0.05760887349256745 477 511
[die] 72 0.057752892627295715 477 510
[grow] 73 0.05874783721888394 478 510
[predate] 74 0.05882635239877778 477 511
[predate] 75 0.059022167593353735 476 512
[predate] 76 0.059868557608649335 475 513
[grow] 77 0.06065316755251118 476 513
[predate] 78 0.062144661182031824 475 514
[die] 79 0.06275804614929324 475 513
[predate] 80 0.06327364159669949 474 514
[grow] 81 0.064515246172779 475 514
[predate] 82 0.06503320118089741 474 515
[die] 83 0.06506349827038475 474 514
[predate] 84 0.0652738989521079 473 515
